schema_key	dimension	band	source	basin08_col_s	basin08_col_u	friendly_name	type	units	s_u	status	atlas_id	api_key_s	api_key_u	high_r_partner	concordance_notes	typology_cluster	scale_sensitivity	I_L6	I_L8	scale_dir	historical_validity	informative_or_degenerate	distribution_notes	position_method	position_notes	notes	zero_fraction_s_L6	zero_fraction_u_L6	zero_fraction_s_L8	zero_fraction_u_L8
erosion_rate	geology	A	BasinATLAS v1.0	ero_kh_sav	ero_kh_uav	Erosion rate	float	t/ha/yr	s+u	planned	S08				No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.7	0.7408	0.922	↑	full-record		Skewness 4.61; zero-fraction 0.06.	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Not currently in signature				
glacier_pct	cryosphere	A	BasinATLAS v1.0	gla_pc_sse	gla_pc_use	Glacier/permanent snow	float	%	s+u	planned	L10				No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.7	0.6629	0.8204	↑	pre-1500 valid		Skewness 15.30; zero-fraction 0.97; log-transformed for canonical Moran's I.	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Not currently in signature				
permafrost_pct	cryosphere	C	BasinATLAS v1.0	prm_pc_sse	prm_pc_use	Permafrost extent	float	%	s+u	implemented	L09	permafrost_extent			No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9589	0.9792	↑	pre-1500 valid	informative	Skewness 2.21; zero-fraction 0.77.	percentile	77.1% zero basins included in CDF as-is	u available in basin08; placed in Band C in v01 payload	0.7657	0.7375	0.7712	0.7448
snow_cover_annual	cryosphere	C	BasinATLAS v1.0	snw_pc_syr	snw_pc_uyr	Snow cover annual	float	%	s+u	planned	C09				No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9746	0.9931	↑	pre-1500 valid		Skewness 1.36; zero-fraction 0.54; missing 3.0%.	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	u available in basin08				
snow_cover_max	cryosphere	C	BasinATLAS v1.0	snw_pc_smx		Snow cover maximum	float	%	s	planned	C09				No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid		deferred-phase4	percentile	best-effort; not yet implemented; transform to be confirmed on implementation					
discharge_annual	discharge	B	BasinATLAS v1.0	dis_m3_pyr		Discharge annual mean	float	m³/s	s	implemented	H01	discharge_yr		discharge_max; discharge_min	Co-varies globally (|r| ≥ 0.90) with: discharge_max; discharge_min.	network-topology	Δ_I near -0.01	0.5822	0.5629	↓	pre-1500 valid	informative	Skewness 22.53; zero-fraction 0.09; log-transformed for canonical Moran's I.	log_percentile	log1p transform (8.3% zero basins)	Cumulative; no upstream avg meaningful	0.0897		0.0826	
discharge_min	discharge	B	BasinATLAS v1.0	dis_m3_pmn		Discharge monthly minimum	float	m³/s	s	implemented	H01	discharge_min		discharge_annual	Co-varies globally (|r| ≥ 0.90) with: discharge_annual.	network-topology		0.6136	0.5734	↓	pre-1500 valid	informative	Skewness 23.64; zero-fraction 0.17; log-transformed for canonical Moran's I.	log_percentile	log1p transform (16.2% zero basins)		0.1736		0.1624	
discharge_max	discharge	B	BasinATLAS v1.0	dis_m3_pmx		Discharge monthly maximum	float	m³/s	s	implemented	H01	discharge_max		discharge_annual; river_area	Co-varies globally (|r| ≥ 0.90) with: discharge_annual; river_area.	network-topology		0.5352	0.5591	↑	pre-1500 valid	informative	Skewness 19.29; zero-fraction 0.03; log-transformed for canonical Moran's I.	log_percentile	log1p transform (3.5% zero basins)		0.0259		0.0348	
runoff	discharge	B	BasinATLAS v1.0	run_mm_syr		Annual runoff	float	mm/yr	s	implemented	H02	runoff			No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient	I near 0.85	0.874	0.9707	↑	full-record	informative	Skewness 2.77; zero-fraction 0.03.	percentile	3.9% zero basins included in CDF as-is		0.0265		0.0393	
groundwater_depth	groundwater	B	BasinATLAS v1.0	gwt_cm_sav		Groundwater table depth	float	cm	s	implemented	H10	gw_table_depth			No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.85	0.8244	0.8573	↑	full-record	informative	Skewness 1.44; zero-fraction 0.01.	percentile	2.3% zero basins included in CDF as-is		0.013		0.0233	
soil_water_content	groundwater	B	BasinATLAS v1.0	swc_pc_syr	swc_pc_uyr	Soil water content annual	float	%	s+u	planned	S06				No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9701	0.9919	↑	pre-1500 valid		Skewness -0.24; zero-fraction 0.02.	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Not currently in signature				
river_area	surface_water	B	BasinATLAS v1.0	ria_ha_ssu	ria_ha_usu	River area	float	ha	s+u	implemented	H08	river_area	river_area_upstream	discharge_max	Co-varies globally (|r| ≥ 0.90) with: discharge_max.	local-anomaly		0.485	0.5908	↑	pre-1500 valid	informative	Skewness 6.98; zero-fraction 0.01; log-transformed for canonical Moran's I.	log_percentile	log1p transform (2.2% zero basins)	u already in view as river_area_upstream	0.0087	0.0124	0.022	0.0211
river_volume	surface_water	B	BasinATLAS v1.0	riv_tc_ssu	riv_tc_usu	River channel volume	float		s+u	planned	H09				No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid		deferred-phase4	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Not currently in signature				
lake_area_pct	surface_water	B	BasinATLAS v1.0	lka_pc_sse	lka_pc_use	Lake area	float	%	s+u	planned	H04				No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.7	0.6843	0.729	↑	pre-1500 valid		Skewness 7.24; zero-fraction 0.44; log-transformed for canonical Moran's I.	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Not currently in signature				
lake_volume_upstream	surface_water	B	BasinATLAS v1.0		lkv_mc_usu	Lake volume upstream	float		u	planned	H05				No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid		deferred-phase4	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	u-only field				
inundation_min	inundation	B	BasinATLAS v1.0	inu_pc_smn	inu_pc_umn	Inundation extent minimum	float	%	s+u	planned	H03				No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid		deferred-phase4	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Flood signal; not currently in signature				
inundation_max	inundation	B	BasinATLAS v1.0	inu_pc_smx	inu_pc_umx	Inundation extent maximum	float	%	s+u	planned	H03				No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent		0.5888	0.6254	↑	pre-1500 valid		Skewness 2.46; zero-fraction 0.30.	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Flood signal; not currently in signature				
inundation_longterm	inundation	B	BasinATLAS v1.0	inu_pc_slt	inu_pc_ult	Inundation extent long-term	float	%	s+u	planned	H03				No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid		deferred-phase4	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Flood signal; not currently in signature				
wetland_pct_g1	wetlands	B	BasinATLAS v1.0	wet_pc_sg1	wet_pc_ug1	Wetland extent group 1	float	%	s+u	implemented	L06	wet_pct_grp1	wet_pct_grp1_upstream		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent		0.5977	0.6997	↑	pre-1500 valid	informative	Skewness 2.64; zero-fraction 0.33.	percentile	56.9% zero basins included in CDF as-is	u available in basin08	0.331	0.3584	0.5688	0.5485
wetland_pct_g2	wetlands	B	BasinATLAS v1.0	wet_pc_sg2	wet_pc_ug2	Wetland extent group 2	float	%	s+u	implemented	L06	wet_pct_grp2	wet_pct_grp2_upstream		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent		0.6113	0.7052	↑	pre-1500 valid	informative	Skewness 3.04; zero-fraction 0.52.	percentile	71.1% zero basins included in CDF as-is	s+u both in signature	0.5191	0.5032	0.711	0.6671
wetland_class_id	wetlands	B	BasinATLAS v1.0	wet_cl_smj		Wetland class ID	integer		s	implemented	L05	wetland_class			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4	rarity_rank	13 classes; rarity range 0.71%–49.2% of non-null L8 basins	Lookup: lu_wet	0.0		0.0	
reservoir_vol	water_management	D	BasinATLAS v1.0		rev_mc_usu	Reservoir volume upstream	float		u	implemented	H06	reservoir_vol			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only	degenerate	deferred-phase4	log_percentile	log1p transform (89.5% zero basins)	u-only field; in Band D in v01 payload		0.7688		0.8953
degree_of_regulation	water_management	B	BasinATLAS v1.0	dor_pc_pva		Degree of regulation by dams	float	%	s	planned	H07				No global co-variation |r| ≥ 0.90 with other signature variables.	network-topology		0.475	0.422	↓	modern-only		Skewness 9.11; zero-fraction 0.77; log-transformed for canonical Moran's I.	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Not currently in signature				
pct_clay	soils	B	BasinATLAS v1.0	cly_pc_sav	cly_pc_uav	Clay content	float	%	s+u	implemented	S01	pct_clay	pct_clay_upstream		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9016	0.9316	↑	full-record	informative	Skewness 0.19; missing 4.617%.	percentile	9.1% null basins excluded from CDF	s+u both in signature	0.0	0.0399	0.0	0.0355
pct_silt	soils	B	BasinATLAS v1.0	slt_pc_sav	slt_pc_uav	Silt content	float	%	s+u	implemented	S02	pct_silt	pct_silt_upstream		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient	Δ_I near -0.01	0.9637	0.9619	↓	full-record	informative	Skewness -0.29; missing 4.617%.	percentile	9.1% null basins excluded from CDF	s+u both in signature	0.0	0.0327	0.0	0.0275
pct_sand	soils	B	BasinATLAS v1.0	snd_pc_sav	snd_pc_uav	Sand content	float	%	s+u	implemented	S03	pct_sand	pct_sand_upstream		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient	I near 0.85	0.8729	0.9033	↑	full-record	informative	Skewness 0.68; missing 4.617%.	percentile	9.1% null basins excluded from CDF	s+u both in signature; clay+silt+sand≈100 (compositional): drop pct_sand from classification feature matrices to avoid spurious linear dependency	0.0	0.0278	0.0	0.0227
soil_organic_carbon	soils	B	BasinATLAS v1.0	soc_th_sav	soc_th_uav	Soil organic carbon	float	t/ha	s+u	planned	S04				No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient	I near 0.85	0.8577	0.9062	↑	full-record		Skewness 2.26; zero-fraction 0.00; missing 4.617%.	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Not currently in signature; good agricultural fertility proxy				
climate_zone_name	climate_type	C	BasinATLAS v1.0	clz_cl_smj		Climate zone name	string		s	implemented	C01	zone_name			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4	rarity_rank	18 classes; rarity range 0.64%–15.1% of non-null L8 basins	Resolved via lu_clz	0.0		0.0	
climate_stratum_code	climate_type	C	BasinATLAS v1.0	cls_cl_smj		Climate stratum code	string		s	implemented	C02	strata_code			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4	rarity_rank	125 classes; rarity range 0.02%–2.4% of non-null L8 basins	Resolved via lu_cls	0.0		0.0	
biome_name	climate_type	C	BasinATLAS v1.0	tbi_cl_smj		Biome name	string		s	implemented	L14	biome			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4	rarity_rank	15 classes; rarity range 0.34%–18.9% of non-null L8 basins	Resolved via lu_tbi	0.0		0.0	
temperature_annual	temperature	C	BasinATLAS v1.0	tmp_dc_syr	tmp_dc_uyr	Temperature annual mean	float	°C	s+u	implemented	C03	temp_yr	temp_yr_upstream	temperature_min	Co-varies globally (|r| ≥ 0.90) with: temperature_min.	continental-gradient		0.9815	0.9963	↑	pre-1500 valid	informative	Skewness -0.67; zero-fraction 0.00.	percentile	0.2% zero basins included in CDF as-is	Stored ×10 in basin08; divide by 10. u available in basin08 as tmp_dc_uyr	0.0021	0.0027	0.0019	0.0022
temperature_min	temperature	C	BasinATLAS v1.0	tmp_dc_smn		Temperature monthly minimum	float	°C	s	implemented	C03	temp_min		temperature_annual	Co-varies globally (|r| ≥ 0.90) with: temperature_annual.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	Skewness -0.56; zero-fraction 0.00.	percentile	0.1% zero basins included in CDF as-is		0.0016		0.0011	
temperature_max	temperature	C	BasinATLAS v1.0	tmp_dc_smx		Temperature monthly maximum	float	°C	s	implemented	C03	temp_max			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	Skewness -0.75; zero-fraction 0.00.	percentile	non-null basins; no transform needed		0.0002		0.0003	
temperature_monthly	temperature	C	BasinATLAS v1.0	tmp_dc_s01..s12		Temperature monthly	float[12]	°C	s	planned	C03				No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid		deferred-phase4			Jan–Dec array; divide by 10				
precipitation_annual	precipitation	C	BasinATLAS v1.0	pre_mm_syr	pre_mm_uyr	Precipitation annual	float	mm/yr	s+u	implemented	C04	precip_yr	precip_yr_upstream		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9214	0.9785	↑	pre-1500 valid	informative	Skewness 1.65; zero-fraction 0.00.	percentile	0.4% zero basins included in CDF as-is	u available in basin08 as pre_mm_uyr	0.003	0.0029	0.0037	0.0029
precipitation_monthly	precipitation	C	BasinATLAS v1.0	pre_mm_s01..s12		Precipitation monthly	float[12]	mm	s	planned	C04				No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid		deferred-phase4			Jan–Dec array				
pet_annual	moisture_balance	C	BasinATLAS v1.0	pet_mm_syr	pet_mm_uyr	Potential evapotranspiration annual	float	mm/yr	s+u	planned	C05				No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9885	0.9972	↑	pre-1500 valid		Skewness -0.25.	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	u available in basin08				
aet_annual	moisture_balance	C	BasinATLAS v1.0	aet_mm_syr	aet_mm_uyr	Actual evapotranspiration annual	float	mm/yr	s+u	planned	C06				No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9673	0.9925	↑	pre-1500 valid		Skewness 0.86; zero-fraction 0.01.	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	u available in basin08				
aridity_index	moisture_balance	C	BasinATLAS v1.0	ari_ix_sav	ari_ix_uav	Aridity index (P/PET)	float	P/PET ×100	s+u	implemented	C07	aridity	aridity_upstream		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9731	0.9924	↑	pre-1500 valid	informative	Skewness 7.87; zero-fraction 0.01; log-transformed for canonical Moran's I.	log_percentile	log1p transform (1.7% zero basins)	Global Aridity Index: stored as P/PET × 100. Value of 100 = P equals PET (arid/humid boundary). Values >100 = humid (P > PET); wet tropics reach ~1000. Global median ~68 (semi-arid). Higher = wetter. Key s/u divergence variable. u available in basin08	0.0148	0.013	0.017	0.015
climate_moisture_index	moisture_balance	C	BasinATLAS v1.0	cmi_ix_syr	cmi_ix_uyr	Climate moisture index	float		s+u	planned	C08				No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9523	0.9884	↑	pre-1500 valid		Skewness 0.35; zero-fraction 0.01.	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	u available in basin08				
ecoregion_terrestrial_id	vegetation	C	BasinATLAS v1.0	tec_cl_smj		Terrestrial ecoregion ID	integer		s	implemented	L15	eco_id			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4	rarity_rank	784 classes; rarity range 0.00%–3.0% of non-null L8 basins	Lookup: lu_tec				
ecoregion_terrestrial_name	vegetation	C	BasinATLAS v1.0	tec_cl_smj		Terrestrial ecoregion name	string		s	implemented	L15	ecoregion			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4	rarity_rank	784 classes; rarity range 0.00%–3.0% of non-null L8 basins	Resolved via lu_tec	0.0149		0.0276	
pnv_majority_name	vegetation	B	BasinATLAS v1.0	pnv_cl_smj		Potential natural vegetation majority name	string		s	implemented	L03	pnv_majority			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4	rarity_rank	16 classes; rarity range 0.74%–14.4% of non-null L8 basins	Resolved via lu_pnv; in Band B in v01 payload	0.0		0.0	
pnv_shares	vegetation	B	BasinATLAS v1.0	pnv_pc_s01..s15		Potential natural vegetation shares	object		s	implemented	L04	pnv_shares			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4	dominance_class	>95% = monoculture (101,956 basins, 53.5%); 60–95% = partial dominance (60,868 basins); <60% = genuine mixture (27,851 basins, 14.6%)	JSON object of {name: pct}; in Band B in v01 payload				
forest_cover_pct	vegetation	C	BasinATLAS v1.0	for_pc_sse	for_pc_use	Forest cover	float	%	s+u	planned	L07				No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient	I near 0.85	0.8581	0.892	↑	modern-only		Skewness 0.87; zero-fraction 0.35.	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Not currently in signature				
freshwater_habitat_name	freshwater_ecology	C	BasinATLAS v1.0	fmh_cl_smj		Freshwater habitat type name	string		s	implemented	L16	freshwater_ecoregion_class			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4	rarity_rank	14 classes; rarity range 0.03%–22.9% of non-null L8 basins	Resolved via lu_fmh	0.0		0.0	
freshwater_ecoregion_name	freshwater_ecology	C	BasinATLAS v1.0	fec_cl_smj		Freshwater ecoregion name	string		s	implemented	L17	freshwater_ecoregion_name			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4	rarity_rank	424 classes; rarity range 0.00%–3.4% of non-null L8 basins	Resolved via lu_fec	0.0		0.0	
land_cover_name	land_cover	C	BasinATLAS v1.0	glc_cl_smj		Land cover class name	string		s	implemented	L01	land_cover_name			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only	informative	deferred-phase4	rarity_rank	23 classes; rarity range 0.01%–14.5% of non-null L8 basins	Resolved via lu_glc; in profile_summary only	0.0		0.0	
cropland_pct	land_use	D	BasinATLAS v1.0	crp_pc_sse	crp_pc_use	Cropland extent	float	%	s+u	implemented	L08	cropland_extent	cropland_extent_upstream		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.85	0.8489	0.8985	↑	modern-only	informative	Skewness 1.92; zero-fraction 0.43.	percentile	48.7% zero basins included in CDF as-is	s+u both in signature; EarthStat ~2000 CE	0.4292	0.4059	0.4872	0.4625
pasture_pct	land_use	D	BasinATLAS v1.0	pst_pc_sse	pst_pc_use	Pasture extent	float	%	s+u	implemented	L11	pasture_extent	pasture_extent_upstream		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient	I near 0.85	0.8599	0.897	↑	modern-only		Skewness 1.21; zero-fraction 0.33.	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	EarthStat ~2000 CE; s+u both in signature	0.3287	0.313	0.3955	0.3677
irrigated_area_pct	land_use	D	BasinATLAS v1.0	ire_pc_sse	ire_pc_use	Irrigated area	float	%	s+u	planned	L12				No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only		deferred-phase4	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Not currently in signature				
urban_area_pct	land_use	D	BasinATLAS v1.0	urb_pc_sse	urb_pc_use	Urban area	float	%	s+u	planned	A06				No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only		deferred-phase4	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Not currently in signature				
pop_density	human_presence	D	BasinATLAS v1.0	ppd_pk_sav	ppd_pk_uav	Population density	float	pk/km²	s	implemented	A05	pop_density			No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient	I near 0.85	0.8615	0.913	↑	modern-only	informative	Skewness 32.74; zero-fraction 0.07; log-transformed for canonical Moran's I.	log_percentile	log1p transform (10.9% zero basins)	s only in signature; u available in basin08	0.0712	0.0689	0.1092	0.098
pop_count	human_presence	D	BasinATLAS v1.0	pop_ct_ssu	pop_ct_usu	Population count	float		s+u	planned	A05				No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only		deferred-phase4	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Not currently in signature				
nighttime_lights	human_presence	D	BasinATLAS v1.0	nli_ix_sav	nli_ix_uav	Nighttime lights index	integer		s+u	planned	A03				No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent		0.6217	0.6998	↑	modern-only		Skewness 3.91; zero-fraction 0.25.			Not currently in signature				
road_density	human_presence	D	BasinATLAS v1.0	rdd_mk_sav	rdd_mk_uav	Road density	float	m/km²	s+u	planned	A04				No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only		deferred-phase4	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Not currently in signature				
human_footprint_1993	human_presence	D	BasinATLAS v1.0	hft_ix_s93	hft_ix_u93	Human footprint 1993	integer		s+u	planned	A02				No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only		deferred-phase4			Not currently in signature				
human_footprint_2009	human_presence	D	BasinATLAS v1.0	hft_ix_s09	hft_ix_u09	Human footprint 2009	integer		s+u	implemented	A02	human_footprint_09	human_footprint_09_upstream		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent		0.8188	0.8475	↑	modern-only	informative	Skewness 1.27; zero-fraction 0.10.	percentile	16.4% zero basins included in CDF as-is	s+u both in signature	0.0988	0.0948	0.164	0.1488
protected_area_pct	human_presence	D	BasinATLAS v1.0	pac_pc_sse	pac_pc_use	Protected area	float	%	s+u	planned	L13				No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only		deferred-phase4	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Not currently in signature				
gdp_mean	economic	D	BasinATLAS v1.0	gdp_ud_sav		GDP mean	integer	USD/km²	s	implemented	A07	gdp_avg		hdi	Co-varies globally (|r| ≥ 0.90) with: hdi.	continental-gradient		0.943	0.9864	↑	modern-only	informative	Skewness 3.10.	percentile	non-null basins; no transform needed		0.0		0.0	
hdi	economic	D	BasinATLAS v1.0	hdi_ix_sav		Human Development Index	integer		s	implemented	A08	human_dev_idx		gdp_mean	Co-varies globally (|r| ≥ 0.90) with: gdp_mean.	continental-gradient		0.9871	0.995	↑	modern-only	informative	Skewness -0.65.	percentile	non-null basins; no transform needed		0.0		0.0	
