schema_key	dimension	band	basin08_col_s	basin08_col_u	friendly_name	type	units	s_u	status	atlas_id	notes	api_key_s	api_key_u	position_method	position_notes	high_r_partner	concordance_notes	typology_cluster	scale_sensitivity	I_L6	I_L8	scale_dir	historical_validity	informative_or_degenerate	distribution_notes
lake_area_pct	surface_water	B	lka_pc_sse	lka_pc_use	Lake area	float	%	s+u	planned	H04	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.7	0.6843	0.729	↑	pre-1500 valid		Skewness 7.24; zero-fraction 0.44; log-transformed for canonical Moran's I.
lake_volume_upstream	surface_water	B		lkv_mc_usu	Lake volume upstream	float		u	planned	H05	u-only field			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid		deferred-phase4
inundation_min	inundation	B	inu_pc_smn	inu_pc_umn	Inundation extent minimum	float	%	s+u	planned	H03	Flood signal; not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid		deferred-phase4
inundation_max	inundation	B	inu_pc_smx	inu_pc_umx	Inundation extent maximum	float	%	s+u	planned	H03	Flood signal; not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent		0.5888	0.6254	↑	pre-1500 valid		Skewness 2.46; zero-fraction 0.30.
inundation_longterm	inundation	B	inu_pc_slt	inu_pc_ult	Inundation extent long-term	float	%	s+u	planned	H03	Flood signal; not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid		deferred-phase4
wetland_pct_g1	wetlands	B	wet_pc_sg1	wet_pc_ug1	Wetland extent group 1	float	%	s+u	implemented	L06	u available in basin08	wet_pct_grp1	wet_pct_grp1_upstream	percentile	56.9% zero basins included in CDF as-is		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent		0.5977	0.6997	↑	pre-1500 valid	informative	Skewness 2.64; zero-fraction 0.33.
wetland_pct_g2	wetlands	B	wet_pc_sg2	wet_pc_ug2	Wetland extent group 2	float	%	s+u	implemented	L06	s+u both in signature	wet_pct_grp2	wet_pct_grp2_upstream	percentile	71.1% zero basins included in CDF as-is		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent		0.6113	0.7052	↑	pre-1500 valid	informative	Skewness 3.04; zero-fraction 0.52.
wetland_class_id	wetlands	B	wet_cl_smj		Wetland class ID	integer		s	implemented		Lookup: lu_wet	wetland_class		rarity_rank	13 classes; rarity range 0.71%–49.2% of non-null L8 basins		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4
reservoir_vol	water_management	D		rev_mc_usu	Reservoir volume upstream	float		u	implemented	H06	u-only field; in Band D in v01 payload	reservoir_vol		log_percentile	log1p transform (89.5% zero basins)		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only	degenerate	deferred-phase4
degree_of_regulation	water_management	B	dor_pc_pva		Degree of regulation by dams	float	%	s	planned	H07	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.	network-topology		0.475	0.422	↓	modern-only		Skewness 9.11; zero-fraction 0.77; log-transformed for canonical Moran's I.
pct_clay	soils	B	cly_pc_sav	cly_pc_uav	Clay content	float	%	s+u	implemented	S01	s+u both in signature	pct_clay	pct_clay_upstream	percentile	9.1% null basins excluded from CDF		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9016	0.9316	↑	full-record	informative	Skewness 0.19; missing 461.7%.
pct_silt	soils	B	slt_pc_sav	slt_pc_uav	Silt content	float	%	s+u	implemented	S02	s+u both in signature	pct_silt	pct_silt_upstream	percentile	9.1% null basins excluded from CDF		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient	Δ_I near -0.01	0.9637	0.9619	↓	full-record	informative	Skewness -0.29; missing 461.7%.
pct_sand	soils	B	snd_pc_sav	snd_pc_uav	Sand content	float	%	s+u	implemented	S03	s+u both in signature; clay+silt+sand≈100 (compositional): drop pct_sand from classification feature matrices to avoid spurious linear dependency	pct_sand	pct_sand_upstream	percentile	9.1% null basins excluded from CDF		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient	I near 0.85	0.8729	0.9033	↑	full-record	informative	Skewness 0.68; missing 461.7%.
soil_organic_carbon	soils	B	soc_th_sav	soc_th_uav	Soil organic carbon	float	t/ha	s+u	planned	S04	Not currently in signature; good agricultural fertility proxy			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient	I near 0.85	0.8577	0.9062	↑	full-record		Skewness 2.26; zero-fraction 0.00; missing 461.7%.
climate_zone_name	climate_type	C	clz_cl_smj		Climate zone name	string		s	implemented		Resolved via lu_clz	zone_name		rarity_rank	18 classes; rarity range 0.64%–15.1% of non-null L8 basins		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4
climate_stratum_code	climate_type	C	cls_cl_smj		Climate stratum code	string		s	implemented		Resolved via lu_cls	strata_code		rarity_rank	125 classes; rarity range 0.02%–2.4% of non-null L8 basins		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4
biome_name	climate_type	C	tbi_cl_smj		Biome name	string		s	implemented		Resolved via lu_tbi	biome		rarity_rank	15 classes; rarity range 0.34%–18.9% of non-null L8 basins		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4
temperature_annual	temperature	C	tmp_dc_syr	tmp_dc_uyr	Temperature annual mean	float	°C	s+u	implemented	C03	Stored ×10 in basin08; divide by 10. u available in basin08 as tmp_dc_uyr	temp_yr	temp_yr_upstream	percentile	0.2% zero basins included in CDF as-is	temperature_min	Co-varies globally (|r| ≥ 0.90) with: temperature_min.	continental-gradient		0.9815	0.9963	↑	pre-1500 valid	informative	Skewness -0.67; zero-fraction 0.00.
temperature_min	temperature	C	tmp_dc_smn		Temperature monthly minimum	float	°C	s	implemented	C03		temp_min		percentile	0.1% zero basins included in CDF as-is	temperature_annual	Co-varies globally (|r| ≥ 0.90) with: temperature_annual.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	Skewness -0.56; zero-fraction 0.00.
temperature_max	temperature	C	tmp_dc_smx		Temperature monthly maximum	float	°C	s	implemented	C03		temp_max		percentile	non-null basins; no transform needed		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	Skewness -0.75; zero-fraction 0.00.
temperature_monthly	temperature	C	tmp_dc_s01..s12		Temperature monthly	float[12]	°C	s	planned	C03	Jan–Dec array; divide by 10						No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid		deferred-phase4
precipitation_annual	precipitation	C	pre_mm_syr	pre_mm_uyr	Precipitation annual	float	mm/yr	s+u	implemented	C04	u available in basin08 as pre_mm_uyr	precip_yr	precip_yr_upstream	percentile	0.4% zero basins included in CDF as-is		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9214	0.9785	↑	pre-1500 valid	informative	Skewness 1.65; zero-fraction 0.00.
precipitation_monthly	precipitation	C	pre_mm_s01..s12		Precipitation monthly	float[12]	mm	s	planned	C04	Jan–Dec array						No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid		deferred-phase4
pet_annual	moisture_balance	C	pet_mm_syr	pet_mm_uyr	Potential evapotranspiration annual	float	mm/yr	s+u	planned	C05	u available in basin08			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9885	0.9972	↑	pre-1500 valid		Skewness -0.25.
aet_annual	moisture_balance	C	aet_mm_syr	aet_mm_uyr	Actual evapotranspiration annual	float	mm/yr	s+u	planned	C06	u available in basin08			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9673	0.9925	↑	pre-1500 valid		Skewness 0.86; zero-fraction 0.01.
aridity_index	moisture_balance	C	ari_ix_sav	ari_ix_uav	Aridity index (P/PET)	float	P/PET ×100	s+u	implemented	C07	Global Aridity Index: stored as P/PET × 100. Value of 100 = P equals PET (arid/humid boundary). Values >100 = humid (P > PET); wet tropics reach ~1000. Global median ~68 (semi-arid). Higher = wetter. Key s/u divergence variable. u available in basin08	aridity	aridity_upstream	log_percentile	log1p transform (1.7% zero basins)		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9731	0.9924	↑	pre-1500 valid	informative	Skewness 7.87; zero-fraction 0.01; log-transformed for canonical Moran's I.
climate_moisture_index	moisture_balance	C	cmi_ix_syr	cmi_ix_uyr	Climate moisture index	float		s+u	planned	C08	u available in basin08			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9523	0.9884	↑	pre-1500 valid		Skewness 0.35; zero-fraction 0.01.
ecoregion_terrestrial_id	vegetation	C	tec_cl_smj		Terrestrial ecoregion ID	integer		s	implemented		Lookup: lu_tec	eco_id		rarity_rank	784 classes; rarity range 0.00%–3.0% of non-null L8 basins		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4
ecoregion_terrestrial_name	vegetation	C	tec_cl_smj		Terrestrial ecoregion name	string		s	implemented		Resolved via lu_tec	ecoregion		rarity_rank	784 classes; rarity range 0.00%–3.0% of non-null L8 basins		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4
pnv_majority_name	vegetation	B	pnv_cl_smj		Potential natural vegetation majority name	string		s	implemented		Resolved via lu_pnv; in Band B in v01 payload	pnv_majority		rarity_rank	16 classes; rarity range 0.74%–14.4% of non-null L8 basins		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4
pnv_shares	vegetation	B	pnv_pc_s01..s15		Potential natural vegetation shares	object		s	implemented		JSON object of {name: pct}; in Band B in v01 payload	pnv_shares		dominance_class	>95% = monoculture (101,956 basins, 53.5%); 60–95% = partial dominance (60,868 basins); <60% = genuine mixture (27,851 basins, 14.6%)		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4
forest_cover_pct	vegetation	C	for_pc_sse	for_pc_use	Forest cover	float	%	s+u	planned	L07	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient	I near 0.85	0.8581	0.892	↑	modern-only		Skewness 0.87; zero-fraction 0.35.
freshwater_habitat_name	freshwater_ecology	C	fmh_cl_smj		Freshwater habitat type name	string		s	implemented		Resolved via lu_fmh	freshwater_ecoregion_class		rarity_rank	14 classes; rarity range 0.03%–22.9% of non-null L8 basins		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4
freshwater_ecoregion_name	freshwater_ecology	C	fec_cl_smj		Freshwater ecoregion name	string		s	implemented		Resolved via lu_fec	freshwater_ecoregion_name		rarity_rank	424 classes; rarity range 0.00%–3.4% of non-null L8 basins		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid	informative	deferred-phase4
land_cover_name	land_cover	C	glc_cl_smj		Land cover class name	string		s	implemented		Resolved via lu_glc; in profile_summary only	land_cover_name		rarity_rank	23 classes; rarity range 0.01%–14.5% of non-null L8 basins		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only	informative	deferred-phase4
cropland_pct	land_use	D	crp_pc_sse	crp_pc_use	Cropland extent	float	%	s+u	implemented	L08	s+u both in signature; EarthStat ~2000 CE	cropland_extent	cropland_extent_upstream	percentile	48.7% zero basins included in CDF as-is		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.85	0.8489	0.8985	↑	modern-only	informative	Skewness 1.92; zero-fraction 0.43.
pasture_pct	land_use	D	pst_pc_sse	pst_pc_use	Pasture extent	float	%	s+u	implemented	L11	EarthStat ~2000 CE; s+u both in signature	pasture_extent	pasture_extent_upstream	percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient	I near 0.85	0.8599	0.897	↑	modern-only		Skewness 1.21; zero-fraction 0.33.
irrigated_area_pct	land_use	D	ire_pc_sse	ire_pc_use	Irrigated area	float	%	s+u	planned	L12	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only		deferred-phase4
urban_area_pct	land_use	D	urb_pc_sse	urb_pc_use	Urban area	float	%	s+u	planned	A06	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only		deferred-phase4
pop_density	human_presence	D	ppd_pk_sav	ppd_pk_uav	Population density	float	pk/km²	s	implemented	A05	s only in signature; u available in basin08	pop_density		log_percentile	log1p transform (10.9% zero basins)		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient	I near 0.85	0.8615	0.913	↑	modern-only	informative	Skewness 32.74; zero-fraction 0.07; log-transformed for canonical Moran's I.
pop_count	human_presence	D	pop_ct_ssu	pop_ct_usu	Population count	float		s+u	planned	A05	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only		deferred-phase4
nighttime_lights	human_presence	D	nli_ix_sav	nli_ix_uav	Nighttime lights index	integer		s+u	planned	A03	Not currently in signature						No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent		0.6217	0.6998	↑	modern-only		Skewness 3.91; zero-fraction 0.25.
road_density	human_presence	D	rdd_mk_sav	rdd_mk_uav	Road density	float	m/km²	s+u	planned	A04	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only		deferred-phase4
human_footprint_1993	human_presence	D	hft_ix_s93	hft_ix_u93	Human footprint 1993	integer		s+u	planned	A02	Not currently in signature						No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only		deferred-phase4
human_footprint_2009	human_presence	D	hft_ix_s09	hft_ix_u09	Human footprint 2009	integer		s+u	implemented	A02	s+u both in signature	human_footprint_09	human_footprint_09_upstream	percentile	16.4% zero basins included in CDF as-is		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent		0.8188	0.8475	↑	modern-only	informative	Skewness 1.27; zero-fraction 0.10.
protected_area_pct	human_presence	D	pac_pc_sse	pac_pc_use	Protected area	float	%	s+u	planned		Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	modern-only		deferred-phase4
gdp_mean	economic	D	gdp_ud_sav		GDP mean	integer	USD/km²	s	implemented	A07		gdp_avg		percentile	non-null basins; no transform needed	hdi	Co-varies globally (|r| ≥ 0.90) with: hdi.	continental-gradient		0.943	0.9864	↑	modern-only	informative	Skewness 3.10.
hdi	economic	D	hdi_ix_sav		Human Development Index	integer		s	implemented	A08		human_dev_idx		percentile	non-null basins; no transform needed	gdp_mean	Co-varies globally (|r| ≥ 0.90) with: gdp_mean.	continental-gradient		0.9871	0.995	↑	modern-only	informative	Skewness -0.65.
dist_sink_km	coastality	E	dist_sink		Flow distance to marine outlet	float	km	s	implemented		In Band E payload; raw basin08 units (m → divide by 1000 for km)	dist_sink		percentile	13.7% zero basins included in CDF as-is		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		deferred-phase4	deferred-phase4	deferred-phase4	full-record	informative	Skewness 1.52; zero-fraction 0.33.
outlet_type	coastality	E	endo		Outlet type	string		s	implemented		Derived from endo flag: exorheic/endorheic/coastal	endorheic		rarity_rank	3 classes (exorheic / endorheic / coastal); derived from endo flag		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	full-record		deferred-phase4
coast_flag	coastality	E	coast		Basin touches coast	boolean		s	implemented			coast_flag		rarity_rank	2 values (True / False); % of L8 basins touching coast		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	full-record		deferred-phase4
topo_depth_from_coast	coastality	E			Topological depth from coast	integer	hops	derived	planned		Computed via next_down DAG traversal						No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	full-record		deferred-phase4
lmr_pdsi	temporal_climate	T			PDSI (LMR v2.1)	float		series	implemented		Annual series {year, pdsi} + pdsi_mean/min/max; 2°×2° nearest cell	pdsi_series		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4
lmr_temp_anomaly	temporal_climate	T			Temperature anomaly (LMR v2.1)	float	K	series	implemented		Annual series {year, air_anom_k} + air_mean_anom_k; anomaly vs. reference period	air_series		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4
lmr_precip_anomaly	temporal_climate	T			Precipitation rate anomaly (LMR v2.1)	float	mm/day	series	implemented		Annual series {year, prate_anom_mm_day} + mean; converted from kg/m²/s	prate_series		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4
lmr_slp	temporal_climate	T			Sea-level pressure (LMR v2.1)	float	hPa	point	planned		Not currently stored in temporal.lmr_climate			deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4
evolv2k_events	volcanic_forcing	T			Volcanic events in period (eVolv2k v4)	list		event	implemented		List of {year_ad, month, vssi_tg, vssi_1sig, asymmetry, location, tephra}; default vssi_min=5.0 Tg	volcanic_events		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4
