schema_key	dimension	band	basin08_col_s	basin08_col_u	friendly_name	type	units	s_u	status	atlas_id	notes	api_key_s	api_key_u	position_method	position_notes	high_r_partner	typology_cluster	scale_sensitivity	historical_validity	informative_or_degenerate
biome_id	climate_type	C	tbi_cl_smj		Biome ID	integer		s	implemented		Lookup: lu_tbi; raw ID not in API output (resolved name at biome)			rarity_rank	15 classes; rarity range 0.34%–18.9% of non-null L8 basins				pre-1500 valid	informative
biome_name	climate_type	C	tbi_cl_smj		Biome name	string		s	implemented		Resolved via lu_tbi	biome		rarity_rank	15 classes; rarity range 0.34%–18.9% of non-null L8 basins				pre-1500 valid	informative
temperature_annual	temperature	C	tmp_dc_syr	tmp_dc_uyr	Temperature annual mean	float	°C	s+u	implemented	C03	Stored ×10 in basin08; divide by 10. u available in basin08 as tmp_dc_uyr	temp_yr	temp_yr_upstream	percentile	0.2% zero basins included in CDF as-is	temperature_min	continental-gradient		pre-1500 valid	informative
temperature_min	temperature	C	tmp_dc_smn		Temperature monthly minimum	float	°C	s	implemented	C03		temp_min		percentile	0.1% zero basins included in CDF as-is	temperature_annual			pre-1500 valid	informative
temperature_max	temperature	C	tmp_dc_smx		Temperature monthly maximum	float	°C	s	implemented	C03		temp_max		percentile	non-null basins; no transform needed				pre-1500 valid	informative
temperature_monthly	temperature	C	tmp_dc_s01..s12		Temperature monthly	float[12]	°C	s	planned	C03	Jan–Dec array; divide by 10								pre-1500 valid	
precipitation_annual	precipitation	C	pre_mm_syr	pre_mm_uyr	Precipitation annual	float	mm/yr	s+u	implemented	C04	u available in basin08 as pre_mm_uyr	precip_yr	precip_yr_upstream	percentile	0.4% zero basins included in CDF as-is		continental-gradient		pre-1500 valid	informative
precipitation_monthly	precipitation	C	pre_mm_s01..s12		Precipitation monthly	float[12]	mm	s	planned	C04	Jan–Dec array								pre-1500 valid	
pet_annual	moisture_balance	C	pet_mm_syr	pet_mm_uyr	Potential evapotranspiration annual	float	mm/yr	s+u	planned	C05	u available in basin08			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		continental-gradient		pre-1500 valid	
aet_annual	moisture_balance	C	aet_mm_syr	aet_mm_uyr	Actual evapotranspiration annual	float	mm/yr	s+u	planned	C06	u available in basin08			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		continental-gradient		pre-1500 valid	
aridity_index	moisture_balance	C	ari_ix_sav	ari_ix_uav	Aridity index (P/PET)	float	P/PET ×100	s+u	implemented	C07	Global Aridity Index: stored as P/PET × 100. Value of 100 = P equals PET (arid/humid boundary). Values >100 = humid (P > PET); wet tropics reach ~1000. Global median ~68 (semi-arid). Higher = wetter. Key s/u divergence variable. u available in basin08	aridity	aridity_upstream	log_percentile	log1p transform (1.7% zero basins)		continental-gradient		pre-1500 valid	informative
climate_moisture_index	moisture_balance	C	cmi_ix_syr	cmi_ix_uyr	Climate moisture index	float		s+u	planned	C08	u available in basin08			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		continental-gradient		pre-1500 valid	
ecoregion_terrestrial_id	vegetation	C	tec_cl_smj		Terrestrial ecoregion ID	integer		s	implemented		Lookup: lu_tec	eco_id		rarity_rank	784 classes; rarity range 0.00%–3.0% of non-null L8 basins				pre-1500 valid	informative
ecoregion_terrestrial_name	vegetation	C	tec_cl_smj		Terrestrial ecoregion name	string		s	implemented		Resolved via lu_tec	ecoregion		rarity_rank	784 classes; rarity range 0.00%–3.0% of non-null L8 basins				pre-1500 valid	informative
pnv_majority_id	vegetation	B	pnv_cl_smj		Potential natural vegetation majority ID	integer		s	implemented		Lookup: lu_pnv; raw ID not in API output (resolved name at pnv_majority)			rarity_rank	16 classes; rarity range 0.74%–14.4% of non-null L8 basins				pre-1500 valid	informative
pnv_majority_name	vegetation	B	pnv_cl_smj		Potential natural vegetation majority name	string		s	implemented		Resolved via lu_pnv; in Band B in v01 payload	pnv_majority		rarity_rank	16 classes; rarity range 0.74%–14.4% of non-null L8 basins				pre-1500 valid	informative
pnv_shares	vegetation	B	pnv_pc_s01..s15		Potential natural vegetation shares	object		s	implemented		JSON object of {name: pct}; in Band B in v01 payload	pnv_shares		dominance_class	>95% = monoculture (101,956 basins, 53.5%); 60–95% = partial dominance (60,868 basins); <60% = genuine mixture (27,851 basins, 14.6%)				pre-1500 valid	informative
forest_cover_pct	vegetation	C	for_pc_sse	for_pc_use	Forest cover	float	%	s+u	planned	L07	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		continental-gradient	I near 0.85	modern-only	
freshwater_habitat_id	freshwater_ecology	C	fmh_cl_smj		Freshwater habitat type ID	integer		s	implemented		Lookup: lu_fmh; not in API output (resolved name at freshwater_ecoregion_class)			rarity_rank	14 classes; rarity range 0.03%–22.9% of non-null L8 basins				pre-1500 valid	informative
freshwater_habitat_name	freshwater_ecology	C	fmh_cl_smj		Freshwater habitat type name	string		s	implemented		Resolved via lu_fmh	freshwater_ecoregion_class		rarity_rank	14 classes; rarity range 0.03%–22.9% of non-null L8 basins				pre-1500 valid	informative
freshwater_ecoregion_id	freshwater_ecology	C	fec_cl_smj		Freshwater ecoregion ID	integer		s	implemented		Lookup: lu_fec			rarity_rank	424 classes; rarity range 0.00%–3.4% of non-null L8 basins				pre-1500 valid	informative
freshwater_ecoregion_name	freshwater_ecology	C	fec_cl_smj		Freshwater ecoregion name	string		s	implemented		Resolved via lu_fec	freshwater_ecoregion_name		rarity_rank	424 classes; rarity range 0.00%–3.4% of non-null L8 basins				pre-1500 valid	informative
land_cover_id	land_cover	C	glc_cl_smj		Land cover class ID	integer		s	implemented		GLC majority class; lookup: lu_glc; raw ID not in API output (resolved name at land_cover_name)			rarity_rank	23 classes; rarity range 0.01%–14.5% of non-null L8 basins				modern-only	informative
land_cover_name	land_cover	C	glc_cl_smj		Land cover class name	string		s	implemented		Resolved via lu_glc; in profile_summary only	land_cover_name		rarity_rank	23 classes; rarity range 0.01%–14.5% of non-null L8 basins				modern-only	informative
cropland_pct	land_use	D	crp_pc_sse	crp_pc_use	Cropland extent	float	%	s+u	implemented	L08	s+u both in signature; EarthStat ~2000 CE	cropland_extent	cropland_extent_upstream	percentile	48.7% zero basins included in CDF as-is		scale-dependent	I near 0.85	modern-only	informative
pasture_pct	land_use	D	pst_pc_sse	pst_pc_use	Pasture extent	float	%	s+u	implemented	L11	EarthStat ~2000 CE; s+u both in signature	pasture_extent	pasture_extent_upstream	percentile	best-effort; not yet implemented; transform to be confirmed on implementation		continental-gradient	I near 0.85	modern-only	
irrigated_area_pct	land_use	D	ire_pc_sse	ire_pc_use	Irrigated area	float	%	s+u	planned	L12	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation				modern-only	
urban_area_pct	land_use	D	urb_pc_sse	urb_pc_use	Urban area	float	%	s+u	planned	A06	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation				modern-only	
pop_density	human_presence	D	ppd_pk_sav	ppd_pk_uav	Population density	float	pk/km²	s	implemented	A05	s only in signature; u available in basin08	pop_density		log_percentile	log1p transform (10.9% zero basins)		continental-gradient	I near 0.85	modern-only	informative
pop_count	human_presence	D	pop_ct_ssu	pop_ct_usu	Population count	float		s+u	planned	A05	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation				modern-only	
nighttime_lights	human_presence	D	nli_ix_sav	nli_ix_uav	Nighttime lights index	integer		s+u	planned	A03	Not currently in signature						scale-dependent		modern-only
road_density	human_presence	D	rdd_mk_sav	rdd_mk_uav	Road density	float	m/km²	s+u	planned	A04	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation				modern-only	
human_footprint_1993	human_presence	D	hft_ix_s93	hft_ix_u93	Human footprint 1993	integer		s+u	planned	A02	Not currently in signature								modern-only	
human_footprint_2009	human_presence	D	hft_ix_s09	hft_ix_u09	Human footprint 2009	integer		s+u	implemented	A02	s+u both in signature	human_footprint_09	human_footprint_09_upstream	percentile	16.4% zero basins included in CDF as-is		scale-dependent		modern-only	informative
protected_area_pct	human_presence	D	pac_pc_sse	pac_pc_use	Protected area	float	%	s+u	planned		Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation				modern-only	
gdp_mean	economic	D	gdp_ud_sav		GDP mean	integer	USD/km²	s	implemented	A07		gdp_avg		percentile	non-null basins; no transform needed	hdi	continental-gradient		modern-only	informative
hdi	economic	D	hdi_ix_sav		Human Development Index	integer		s	implemented	A08		human_dev_idx		percentile	non-null basins; no transform needed	gdp_mean	continental-gradient		modern-only	informative
dist_sink_km	coastality	E	dist_sink		Flow distance to marine outlet	float	km	s	implemented		In Band E payload; raw basin08 units (m → divide by 1000 for km)	dist_sink		percentile	13.7% zero basins included in CDF as-is		continental-gradient		full-record	informative
outlet_type	coastality	E	endo		Outlet type	string		s	implemented		Derived from endo flag: exorheic/endorheic/coastal	endorheic		rarity_rank	3 classes (exorheic / endorheic / coastal); derived from endo flag				full-record	
coast_flag	coastality	E	coast		Basin touches coast	boolean		s	implemented			coast_flag		rarity_rank	2 values (True / False); % of L8 basins touching coast				full-record	
topo_depth_from_coast	coastality	E			Topological depth from coast	integer	hops	derived	planned		Computed via next_down DAG traversal								full-record	
lmr_pdsi	temporal_climate	T			PDSI (LMR v2.1)	float		series	implemented		Annual series {year, pdsi} + pdsi_mean/min/max; 2°×2° nearest cell	pdsi_series		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up				period-specific	
lmr_temp_anomaly	temporal_climate	T			Temperature anomaly (LMR v2.1)	float	K	series	implemented		Annual series {year, air_anom_k} + air_mean_anom_k; anomaly vs. reference period	air_series		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up				period-specific	
lmr_precip_anomaly	temporal_climate	T			Precipitation rate anomaly (LMR v2.1)	float	mm/day	series	implemented		Annual series {year, prate_anom_mm_day} + mean; converted from kg/m²/s	prate_series		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up				period-specific	
lmr_slp	temporal_climate	T			Sea-level pressure (LMR v2.1)	float	hPa	point	planned		Not currently stored in temporal.lmr_climate			deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up				period-specific	
evolv2k_events	volcanic_forcing	T			Volcanic events in period (eVolv2k v4)	list		event	implemented		List of {year_ad, month, vssi_tg, vssi_1sig, asymmetry, location, tephra}; default vssi_min=5.0 Tg	volcanic_events		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up				period-specific	
evolv2k_vssi_per_event	volcanic_forcing	T			VSSI per event (eVolv2k v4)	float	Tg	event	implemented		vssi_tg field within each volcanic_events object			deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up				period-specific	
evolv2k_asymmetry	volcanic_forcing	T			Hemispheric asymmetry per event	float	0–1	event	implemented		asymmetry field within each volcanic_events object; 0=SH, 1=NH, intermediate=bilateral			deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up				period-specific	
evolv2k_event_count	volcanic_forcing	T			Volcanic event count in period	integer		derived	implemented		Count of events ≥ vssi_min (default 5 Tg) in the query window	volcanic_event_count		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up				period-specific	
evolv2k_vssi_sum	volcanic_forcing	T			Total VSSI in period	float	Tg	derived	implemented		Sum of vssi_tg for all events ≥ vssi_min in the query window	volcanic_vssi_sum_tg		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up				period-specific	
evolv2k_years_since_major	volcanic_forcing	T			Years since last major eruption	integer	years	derived	implemented		Years between year_end and the most recent event ≥ 10 Tg; null if none in window	years_since_last_major		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up				period-specific	
hyde_cropland	land_use_temporal	T			Cropland extent (HYDE 3.4)	float series	km²/pct	s	implemented		Per-epoch list of {year_ce, cropland_km2, cropland_pct, basin_area_km2, n_cells}; resolution: millennial BCE, centennial 0–1700, decadal 1710–1950, annual 1951–2025; _note discloses temporal resolution	hyde_land_use[].cropland_km2		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up				period-specific	
hyde_grazing	land_use_temporal	T			Grazing land extent (HYDE 3.4)	float series	km²/pct	s	implemented		Per-epoch list; grazing = pasture + rangeland; same resolution structure as hyde_cropland	hyde_land_use[].grazing_km2		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up				period-specific	
hyde_pasture	land_use_temporal	T			Pasture extent (HYDE 3.4)	float series	km²/pct	s	implemented		Per-epoch list; managed pasture subset of grazing land	hyde_land_use[].pasture_km2		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up				period-specific	
hyde_rangeland	land_use_temporal	T			Rangeland extent (HYDE 3.4)	float series	km²/pct	s	implemented		Per-epoch list; unmanaged/extensive grazing subset	hyde_land_use[].rangeland_km2		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up				period-specific	
narrative	narrative	output			LLM narrative summary	string		output	planned		Claude API; non-specialist natural language summary									
